パルNo.,名前,属性,ドロップアイテム,作業適正
1,モコロン,無属性,"モコロンの羊肉,羊毛","手作業Lv1,運搬Lv1,牧場Lv1"
2,ツッパニャン,無属性,赤いベリー,"手作業Lv1,運搬Lv1,採集Lv1,採掘Lv1"
3,タマコッコ,無属性,"タマコッコの鶏肉,卵","採取Lv1,牧場Lv1"
4,クルリス,草属性,"ベリーの種,低品櫃の医療品","種まきLv1,手作業Lv1,伐採Lv1,製薬Lv1,採集Lv1"
5,キツネビ,炎属性,"革,発火器官",火起こしLv1
6,カモノスケ,水属性,"革,パルの体液","水やりLv1,手作業Lv2,運搬Lv1"
7,ボルトラ,雷属性,発電器官,"発電Lv1,手作業Lv1,運搬Lv1"
8,エテッパ,草属性,キノコ,"種まきLv1,手作業Lv1,採集Lv1,伐採Lv1,運搬Lv1"
9,ヒノコジカ,炎属性,"発火器官,革",火おこしLv1
10,ペンタマ,水属性/氷属性,"氷結器官,パルの体液","水やりLv1,手作業Lv1,冷却Lv1,運搬Lv1"
11,キャプペン,水属性/氷属性,氷結器官/キャプペンの羽飾り,"水やりLv2,手作業Lv2,採掘Lv2,冷却Lv2,運搬Lv2"
12,パチグリ,雷属性,発電器官,発電Lv1
12B,コチグリ,氷属性,氷結器官,冷却Lv1
13,ナエモチ,草属性/地属性,"ベリーの種,ナエモチの葉っぱ",種まきLv1
14,タマモ,無属性,"革,骨","採集Lv1,牧場Lv1"
15,ホウロック,闇属性,"繊維,高度な技術書",採集Lv1
16,チョロゾウ,水属性,パルの体液,水やりLv1
17,ンダコアラ,闇属性,毒腺,"手作業Lv1,採掘Lv1,運搬Lv1"
18,ミルフィー,無属性,羊毛,"採集Lv1,牧場Lv1"
19,ネムラム,闇属性,"毒腺,小さなパルのソウル","手作業Lv1,採集Lv1,運搬Lv1"
20,イノボウ,地属性,"イノボウの猪肉,革,骨",採掘Lv1
21,ルナティ,闇属性,"革,小さなパルソウル",採集Lv1
22,モグルン,地属性,革,"手作業Lv1,採掘Lv1,運搬Lv1"
23,ヤミイカ,闇属性,毒腺,"採集Lv1,運搬Lv2"
24,ニャオテト,氷属性,,Lv
24A,チルテト,氷属性,,Lv
25,ルミカイト,水属性,パルの体液,"水やりLv1,運搬Lv1"
26,ガウルフ,無属性,"革,ルビー,金貨",採集Lv1
27,クルットリ,無属性,"火薬,クルットリの羽",採集Lv1
28,ポプリーナ,草属性,"低品質の医薬品,小麦の種","種まきLv1,手作業Lv1,採集Lv1,製薬Lv1,運搬Lv1"
29,ミルカルビ,無属性,"ミルカルビの牛肉,ミルク",牧場Lv1
30,イバラヒメ,草属性,"小麦の種,レタスの種","種まきLv1,手作業Lv1,製薬Lv2,運搬Lv1,採集Lv1"
31,シャーキッド,水属性,,Lv
31A,シャーマンダー,炎属性,,Lv
32,シメナワ,地属性,繊維,"手作業Lv1,採集Lv1,運搬Lv2"
32A,オバケナワ,氷属性,,Lv
33,ササゾー,草属性,,Lv
33A,ライゾー,雷属性,,Lv
34,メリポップ,無属性,"わたあめ,上質なパルオイル",牧場Lv1
35,ベリゴート,草属性,"ベリゴートの香草肉,赤いベリー,角","種まきLv2,牧場Lv1"
36,メルパカ,無属性,"羊毛,革",牧場Lv1
37,ツノガミ,無属性,"ツノガミの鹿肉,革,角",伐採Lv2
37A,ヤマガミ,地属性,,Lv
38,ホークウィン,無属性,革,採集Lv2
39,ヒメウサ,無属性,"革,きれいな花","手作業Lv1,採集Lv1,運搬Lv1"
40,ヘルゴート,炎属性/闇属性,"角,革","火おこしLv1,手作業Lv2,運搬Lv2,採掘Lv1"
40A,アビスゴート,闇属性,,Lv
41,パピテフ,草属性,,Lv
42,ブルフェルノ,炎属性,"角,発火器官","火おこしLv2,伐採Lv1"
43,ドドドドン,地属性,,Lv
44,マスクロウ,闇属性,"骨,毒腺,小さなパルのソウル",伐採Lv1
45,ダリザード,闇属性,"銅のカギ,銀のカギ","手作業Lv1,採集Lv1,運搬Lv1"
45A,チリザード,炎属性,,Lv
46,ツキカゲ,闇属性,骨,手作業Lv2
47,エアムルグ,無属性,"エアムルグの鳥肉,革",採集Lv2
48,フェザーロ,草属性,"小麦の種,矢","種まきLv1,手作業Lv2,伐採Lv1,製薬1,運搬2,採集Lv2"
48A,サンドロ,草属性/地属性,,Lv
49,ゴリレイジ,無属性,"革,骨","手作業Lv1,伐採Lv2,運搬Lv3"
50,ビーナイト,草属性,ハチミツ,"種まきLv1,手作業Lv1,採集Lv1,伐採Lv1,製薬Lv1,運搬Lv2,牧場Lv1"
51,クインビーナ,草属性,,Lv
52,ニャンギマリ,無属性,上質なパルオイル,採集Lv2
53,コモップ,氷属性,羊毛,"採集Lv1,冷却Lv1"
54,ドンモップ,氷属性,羊毛,"採集Lv2,冷却Lv2"
55,オコチョ,氷属性/竜属性,革,"採集Lv1,冷却Lv1"
56,ライコーン,雷属性,"革,発電器官,角","発電Lv2,伐採Lv1"
57,フブキツネ,氷属性,,Lv
58,サラブレイズ,炎属性,,Lv
58A,サラブラック,炎属性/闇属性,,Lv
59,ツツカジラ,氷属性,,Lv
60,イヌズマ,雷属性,発電器官,発電Lv2
61,シラヌイ,炎属性,"発火器官,革",火おこしLv2
62,カミナラシ,雷属性,発電器官,"発電Lv1,手作業Lv1,運搬Lv1"
63,ミステリア,無属性,,Lv
64,アロアリュー,草属性/竜属性,小麦の種,"種まきLv2,伐採Lv2"
64A,ビリビリュー,雷属性/竜属性,,Lv
65,シーペント,水属性,パルの体液,水やりLv2
65A,スナペント,地属性,,Lv
66,ソルレイス,闇属性,"骨,小さなパルソウル","採集Lv2,採掘Lv1"
67,ドリタス,地属性,,Lv
68,ニャンバット,闇属性,"革,小さなパルのソウル","採集Lv2,採掘Lv2,運搬Lv2"
69,ラブマンダー,無属性,,Lv
70,ラヴィ,炎属性,"発火器官,上質なパルオイル","火おこしLv1,手作業Lv1,運搬Lv1,牧場Lv1"
71,カバネドリ,炎属性/闇属性,"骨,ルビー,金貨","火おこしLv1,運搬Lv3"
71A,シロカバネ,氷属性/闇属性,,Lv
72,ツジギリ,炎属性,,Lv
73,ライバード,雷属性,,Lv
74,イグニクス,炎属性,,Lv
75,クレメーオ,闇属性,,Lv
76,フォレーナ,炎属性,"発火器官,高度な技術書","火おこしLv2,手作業3,運搬Lv2"
77,ラベロット,草属性,"革,骨","種まきLv2,手作業Lv3,伐採Lv2,運搬Lv2,採集Lv3"
78,ヴィオレッタ,草属性,"低品質の医薬品,トマトの種","種まきLv2,手作業Lv2,製薬Lv2,運搬Lv1,採集Lv2"
79,シルキーヌ,氷属性,,Lv
80,シルフィア,竜属性,,Lv
81,ケルピス,水属性,,Lv
81A,マグピス,炎属性,"ケルピスの魚肉,発火器官",火おこしLv1
82,アズレーン,水属性/竜属性,布,水やりLv3
83,ツンドラー,氷属性,,Lv
84,ゴクエンオ,炎属性,,Lv
84A,シンエンオ,炎属性/闇属性,,Lv
85,ペコドン,竜属性/水属性,"上質なパルオイル,ルビー","水やりLv2,運搬"
85A,パリピドン,竜属性/雷属性,"上質なパルオイル,発電器官,サファイア","運搬Lv1,発電Lv3"
86,ラブラドン,草属性,"ラブラドンの恐竜肉,トマトの種",種まきLv3
86A,スプラドン,草属性/水属性,,Lv
87,フラリーナ,草属性,,Lv
88,ボルカノン,炎属性/地属性,,Lv
88A,フロスカノン,氷属性/地属性,,Lv
89,アルパオー,無属性,,Lv
89A,アオパオー,氷属性,,Lv
90,グランモス,草属性,,Lv
90A,ブリザモス,氷属性,,Lv
91,ヒエティ,氷属性,,Lv
91A,トロピティ,草属性,"レタスの種,トマトの種,きれいな花","種まきLv1，手作業Lv2,伐採Lv3,運搬Lv4"
92,グラクレス,草属性,,Lv
93,ムラクモ,無属性,,Lv
94,ヤミトバリ,闇属性,,Lv
95,フェスキー,？属性,,Lv
96,ボルカイザー,炎属性,,Lv
97,ヘルカイダ,闇属性,,Lv
98,ジオラーヴァ,？属性,,Lv
99,デスティング,闇属性/地属性,,Lv
100,アヌビス,？属性,,Lv
101,レヴィドラ,竜属性/水属性,パルの体液,水やりLv4
101A,アグニドラ,竜属性/炎属性,,Lv
102,スザク,炎属性,,Lv
102A,シヴァ,水属性,,Lv
103,エレパンダ,雷属性,,Lv
104,りりクイン,草属性,,Lv
104A,ルナクイン,？属性,,Lv
105,ホルス,炎属性,,Lv
106,ボルゼクス,竜属性/雷属性,,Lv
107,ゼノグリフ,闇属性,,Lv
108,セイントール,？属性,,Lv
109,べイントール,？属性,,Lv
110,グレイシャル,？属性,,Lv
110A,グレイシャドウ,？属性,,Lv
111,ジェッドラン,？属性,,Lv
